#"Step","Potential Energy (kJ/mole)","Temperature (K)"
534,-486.9725549375006,48.242959282107435
535,-487.90792865590487,48.96350063697382
536,-488.9693087806752,49.72032261653847
537,-489.99556841796874,50.2015657448779
538,-490.9550992055653,51.2174652399064
539,-491.7902805046722,51.38342633934661
540,-492.43641911329814,51.708421731054415
541,-492.91412331815354,51.92278332186605
542,-493.2115846776494,51.99756359680075
543,-493.2802007853434,51.569886302282896
544,-493.13737935118553,51.6458422405092
545,-492.7698491498044,51.69357657903891
546,-492.19746776421795,51.557056162429916
547,-491.4291194563668,50.87935494362121
548,-490.4958870605157,50.00735700864578
549,-489.4423993289909,49.64752947257127
550,-488.29737353362026,48.951295643979506
551,-487.1396554181881,48.26129020074327
552,-486.0169547449104,47.53117838494887
553,-484.96759246919794,46.769760281862155
554,-484.0174873927473,46.80103211901162
555,-483.2544751664582,46.6188360635266
556,-482.663145770478,45.95690734165319
557,-482.281559801186,45.52118755730799
558,-482.19153202839266,45.73300404116857
559,-482.2749177154687,45.34535320216199
560,-482.5721697730672,45.98218002164877
561,-483.03890740402926,46.750348058576925
562,-483.6723512714121,47.19242758260212
563,-484.3938536009533,47.44874319410342
564,-485.16827605351455,47.70967041211388
565,-485.9887877246916,48.52664360504139
566,-486.8444473229127,49.511175728623485
567,-487.60870821335783,49.94515548251283
568,-488.2673649858286,50.102756384913135
569,-488.79314404971433,50.56695711864302
570,-489.1913134516398,50.96662447393882
571,-489.4370852904635,51.054124221642134
572,-489.5464039380196,51.24711577747471
573,-489.4958659455983,50.764251955278766
574,-489.2767774818315,50.67710954758397
575,-488.96998457934444,50.5796802572442
576,-488.5795902675444,50.65522712661595
577,-488.09046968306757,50.436211308860656
578,-487.53878985176465,50.02706780709132
579,-486.87367900736064,49.52319106287499
580,-486.1361615120521,49.59036322749
581,-485.4347834633979,49.517815174560575
582,-484.74979281544296,49.27911288584977
583,-484.1094093147504,49.075430183156136
584,-483.53305959610043,49.15064299575944
585,-483.08659413421196,49.18028349514381
586,-482.7172893811622,48.90054312640859
587,-482.440951948038,48.63335648893097
588,-482.24788917259576,48.16543749827899
589,-482.15159192602283,48.05965862216126
590,-482.1767567196321,48.2578395962731
591,-482.2979787641583,48.74812816919433
592,-482.45975752212024,48.723328750094645
593,-482.68899566155085,48.696832725098794
594,-483.0172477097829,49.02951613419859
595,-483.3465144399678,49.32133201836304
596,-483.7247183597563,49.413164214542405
597,-484.05417697393915,49.76656023730027
598,-484.3674704910678,49.971290460932714
599,-484.6022244285716,50.02781188906213
600,-484.76517437689137,50.2238777193915
601,-484.8867379644455,50.589499228924865
602,-484.93834919038716,51.028716183470294
603,-484.8631462239955,50.74677564860249
604,-484.6766729918548,50.77491565333725
605,-484.35398652128043,51.29617704126335
606,-483.9293726515447,51.03138815846554
607,-483.4082971319736,51.4554293451627
608,-482.80269494404484,51.0498580030833
609,-482.09614783485074,50.96971946503861
610,-481.29173344841837,51.47798788189855
611,-480.4103871162358,50.65923119064794
612,-479.5259656586804,49.45906127880036
613,-478.6163025860466,49.1409353527305
614,-477.6881529793642,48.59177880663634
615,-476.78182722367285,47.602262227427104
616,-475.9381955146377,47.13120379855355
617,-475.189261263067,46.39657987657466
618,-474.49135162382265,46.13191272152572
619,-473.89078113920203,45.79559868360476
620,-473.4592997487238,45.34716953455119
621,-473.1677475254784,45.309562081920525
622,-473.05062056002333,45.391143998251906
623,-473.08711596321774,45.77345658347218
624,-473.25977036753443,45.74036423322019
625,-473.5965588148174,46.711223680415706
626,-474.05714147305684,46.15770241542976
627,-474.61595189164547,46.80758572140626
628,-475.28380933589824,47.37098464363138
629,-476.00592035005064,47.76349057991279
630,-476.7620214108331,48.53062397017836
631,-477.5231361818592,49.25719110664556
632,-478.230927542969,49.78366118319208
633,-478.9020484537073,50.525827998600924
634,-479.45114565708536,50.87980461518403
635,-479.917913148023,51.91627416055194
636,-480.24362881198596,52.65255849100248
637,-480.39679858743307,52.646490017338174
638,-480.35511115887,52.96340126197589
639,-480.1445510094948,53.059774722555616
640,-479.77613262205847,52.77082030442315
641,-479.2390434531566,52.23217183776035
642,-478.60930138550043,51.746214837293195
643,-477.96071565438814,51.22480388988876
644,-477.3073314426587,50.97622759803164
645,-476.6404289804884,50.6266496873858
646,-476.0402490717353,50.46655231174539
647,-475.42434549315146,50.22919626425363
648,-474.84575542952484,49.880420996094124
649,-474.3309643119275,49.40186389195352
650,-473.93649151345244,49.480968921876126
651,-473.6707895472003,48.938646772587305
652,-473.50832912613,48.62269046826048
653,-473.51692190034123,49.05776562003779
654,-473.74073835937276,49.840230874002316
655,-474.0645507240653,50.30708776266941
656,-474.4950435337617,50.541811024384025
657,-475.07987988806656,50.78117053210672
658,-475.790039541615,51.75474963312777
659,-476.57906374955115,52.382522602772774
660,-477.4577195169038,53.5597625525109
661,-478.42976900841745,54.130454344919464
662,-479.38085871416257,55.16422684047767
663,-480.34221767962754,55.74440051561078
664,-481.24637933939863,56.33121924138445
665,-482.0309354797465,56.58589925648007
666,-482.7265746443646,57.3260266861995
667,-483.33254527609915,58.188214086831316
668,-483.7977668021894,58.714280624218375
669,-484.068151480606,59.37597552404106
670,-484.20222858408636,59.24620964725228
671,-484.17625529215826,59.17413289675541
672,-484.0204142630565,59.28811133567161
673,-483.70509316980474,59.2024048291812
674,-483.28499713733646,59.06991919511056
675,-482.7334570462427,58.394883233560456
676,-482.1233675622604,58.01318157455586
677,-481.4816304671276,57.1572590048776
678,-480.93055983421226,56.59936506728676
679,-480.421518187491,56.91675102342408
680,-479.9661210795249,57.04247979681153
681,-479.61176828125775,56.24610581076101
682,-479.33161101616116,56.00368642463646
683,-479.1808460200314,56.1428470272299
684,-479.12109921633066,56.15724415866108
685,-479.20571807503006,56.39344947956123
686,-479.40496984968655,56.14074931422187
687,-479.72037238836975,56.87317558881003
688,-480.12412906716537,58.02886368765865
689,-480.50754160808,58.39323108014239
690,-480.91994129605433,59.46999437035168
691,-481.3429463980866,60.278595815665795
692,-481.64830510972337,60.706860430853325
693,-481.8252710312356,61.77644109939217
694,-481.8691818807719,61.86404281466978
695,-481.75748412846286,61.723717237237565
696,-481.53381828751407,61.66251936384957
697,-481.1725148139835,61.633978322981385
698,-480.67311498067556,62.01682402665329
699,-479.95847505207166,61.947754205968685
700,-479.0392031492862,61.113624010875164
701,-477.91548204109347,60.46116769687666
702,-476.6972281146136,59.01699046822333
703,-475.38985824917916,59.00830656613468
704,-474.03490143533827,58.266447604272756
705,-472.65537953371944,57.98502656502817
706,-471.3609328325456,57.333547834286406
707,-470.1767272603024,56.527200124598856
708,-469.07657127886074,55.523789844993324
709,-468.18689280228,54.73443108675242
710,-467.50315685555285,54.84147007097055
711,-467.05468702283264,54.723666841655806
712,-466.85618631905413,54.62202531579322
713,-466.9505881379243,55.127380536793304
714,-467.170795736188,55.34858246775994
715,-467.55554330874264,55.57343533407958
716,-468.0449696204115,55.95216918497039
717,-468.6746779527491,56.60073110016239
718,-469.34563292278665,56.91800169040804
719,-470.0531611365521,57.72403372452388
720,-470.6932187859545,58.38231358987869
721,-471.2527836952986,58.965656446654386
722,-471.58587807538987,58.800623504128694
723,-471.74631470129015,59.199017785040894
724,-471.68740148957335,59.74352274012369
725,-471.46792056483724,59.901927817042704
726,-471.04417494993015,59.65687793305685
727,-470.41149711530153,59.240904913634274
728,-469.58658745841365,59.454951064997445
729,-468.52837282436263,58.06771459962978
730,-467.3065472926013,57.75743649905594
